"ID","Age","Vol"
"1.1.7",101.2,2513
"1.1.7",111.2,2771
"1.1.7",121.2,3052
"1.1.7",131.2,3368
"1.1.7",141.2,3678
"1.2.1",9.21,11
"1.2.1",19.21,80
"1.2.1",29.21,240
"1.2.1",39.21,505
"1.2.1",49.21,805
"1.2.1",59.21,1079
"1.2.1",69.21,1335
"1.2.1",79.21,1538
"1.2.1",89.21,1761
"1.2.1",99.21,1988
"1.2.1",109.21,2176
"1.2.1",119.21,2338
"1.2.1",129.21,2550
"1.2.1",139.21,2794
"1.2.2",8.71,6
"1.2.2",18.71,71
"1.2.2",28.71,215
"1.2.2",38.71,452
"1.2.2",48.71,714
"1.2.2",58.71,967
"1.2.2",68.71,1261
"1.2.2",78.71,1476
"1.2.2",88.71,1695
"1.2.2",98.71,1915
"1.2.2",108.71,2107
"1.2.2",118.71,2321
"1.2.2",128.71,2508
"1.2.2",138.71,2694
"1.3.1",9.74,8
"1.3.1",19.74,66
"1.3.1",29.74,201
"1.3.1",39.74,437
"1.3.1",49.74,709
"1.3.2",10,10
"1.3.2",20,82
"1.3.2",30,259
"1.3.2",40,503
"1.3.2",50,752
"1.3.5",1.89,0.8
"1.3.5",11.89,11
"1.3.5",21.89,52
"1.3.5",31.89,166
"1.3.5",41.89,341
"1.3.5",51.89,581
"1.3.5",61.89,848
"1.3.5",71.89,1145
"1.3.5",81.89,1445
"1.3.5",91.89,1713
"1.3.6",1.91,1.4
"1.3.6",11.91,24
"1.3.6",21.91,117
"1.3.6",31.91,227
"1.3.6",41.91,511
"1.3.6",51.91,747
"1.3.6",61.91,1002
"1.3.6",71.91,1278
"1.3.6",81.91,1553
"1.3.6",91.91,1836
"1.3.10",10,10
"1.3.10",20,56
"1.3.10",30,152
"1.3.10",40,303
"1.3.10",50,510
"1.3.10",60,758
"1.3.10",70,1016
"1.3.10",80,1252
"1.3.10",90,1507
"1.3.10",100,1745
"1.3.10",110,1973
"1.3.11",2.44,2.2
"1.3.11",12.44,20
"1.3.11",22.44,93
"1.3.11",32.44,262
"1.3.11",42.44,476
"1.3.11",52.44,705
"1.3.11",62.44,967
"1.3.11",72.44,1203
"1.3.11",82.44,1409
"1.3.11",92.44,1659
"1.3.11",102.44,1898
"1.3.11",112.44,2106
"1.3.12",2.06,0.8
"1.3.12",12.06,9
"1.3.12",22.06,84
"1.3.12",32.06,305
"1.3.12",42.06,633
"1.3.12",52.06,1034
"1.3.12",62.06,1408
"1.3.12",72.06,1746
"1.3.12",82.06,2085
"1.3.12",92.06,2411
"1.3.12",102.06,2790
"1.3.12",112.06,3111
"1.4.1",1.78,0.9
"1.4.1",11.78,17
"1.4.1",21.78,77
"1.4.1",31.78,194
"1.4.1",41.78,339
"1.4.1",51.78,503
"1.4.1",61.78,665
"1.4.2",2.05,0.1
"1.4.2",12.05,6
"1.4.2",22.05,46
"1.4.2",32.05,146
"1.4.2",42.05,316
"1.4.2",52.05,525
"1.4.2",62.05,765
"1.4.6",9.44,17
"1.4.6",19.44,72
"1.4.6",29.44,188
"1.4.6",39.44,335
"1.4.6",49.44,483
"1.4.6",59.44,644
"1.4.6",69.44,999
"1.4.6",79.44,1280
"1.4.6",89.44,1576
"1.4.6",99.44,1850
"1.5.4",9.77,16
"1.5.4",19.77,92
"1.5.4",29.77,287
"1.5.4",39.77,488
"1.5.4",49.77,679
"1.5.4",59.77,874
"1.5.4",69.77,1080
"1.5.4",79.77,1265
"1.5.13",9.55,4
"1.5.13",19.55,28
"1.5.13",29.55,109
"1.5.13",39.55,285
"1.5.13",49.55,470
"1.5.13",59.55,699
"1.5.13",69.55,932
"1.5.13",79.55,1161
"1.5.25",0.43,0.4
"1.5.25",10.43,16
"1.5.25",20.43,84
"1.5.25",30.43,206
"1.5.25",40.43,260
"1.5.25",50.43,563
"1.5.25",60.43,793
"1.5.25",70.43,1072
"1.5.25",80.43,1305
"1.5.25",90.43,1560
"1.5.25",100.43,1808
"1.5.25",110.43,2099
"1.5.25",120.43,2418
"1.5.25",130.43,2771
"1.5.25",140.43,3124
"2.1.8",10,5
"2.1.8",20,23
"2.1.8",30,65
"2.1.8",40,126
"2.1.8",50,206
"2.1.8",60,304
"2.1.8",70,400
"2.1.8",80,512
"2.1.8",90,607
"2.1.8",100,697
"2.1.8",110,759
"2.1.8",120,815
"2.1.8",130,880
"2.1.8",140,943
"2.1.9",7.5,1
"2.1.9",17.5,7
"2.1.9",27.5,27
"2.1.9",37.5,75
"2.1.9",47.5,170
"2.1.9",57.5,283
"2.1.9",67.5,425
"2.1.9",77.5,591
"2.1.9",87.5,764
"2.1.9",97.5,950
"2.1.9",107.5,1128
"2.1.9",117.5,1361
"2.1.9",127.5,1626
"2.1.9",137.5,1890
"2.1.10",10,7
"2.1.10",20,51
"2.1.10",30,153
"2.1.10",40,289
"2.1.10",50,453
"2.1.10",60,604
"2.1.10",70,812
"2.1.10",80,997
"2.1.10",90,1184
"2.1.10",100,1368
"2.1.10",110,1539
"2.1.10",120,1754
"2.1.10",130,1995
"2.1.10",140,2257
"2.1.11",10,9
"2.1.11",20,30
"2.1.11",30,68
"2.1.11",40,120
"2.1.11",50,252
"2.1.11",60,428
"2.1.11",70,651
"2.1.11",80,876
"2.1.11",90,1118
"2.1.11",100,1342
"2.1.11",110,1600
"2.1.11",120,1883
"2.1.11",130,2137
"2.1.11",140,2385
"2.3.3",10,4
"2.3.3",20,24
"2.3.3",30,77
"2.3.3",40,188
"2.3.3",50,358
"2.3.3",60,558
"2.3.3",70,762
"2.3.4",0.63,0.4
"2.3.4",10.63,9
"2.3.4",20.62,52
"2.3.4",30.62,150
"2.3.4",40.63,302
"2.3.4",50.63,510
"2.3.4",60.63,711
"2.3.4",70.62,866
"2.3.7",9.57,4
"2.3.7",19.57,32
"2.3.7",29.57,116
"2.3.7",39.57,271
"2.3.7",49.57,456
"2.3.7",59.57,658
"2.3.7",69.57,857
"2.3.7",79.57,1064
"2.3.7",89.57,1278
"2.3.7",99.57,1514
"2.3.8",6.92,1
"2.3.8",16.92,18
"2.3.8",26.92,84
"2.3.8",36.92,213
"2.3.8",46.92,364
"2.3.8",56.92,525
"2.3.8",66.92,674
"2.3.8",76.92,858
"2.3.8",86.92,1064
"2.3.8",96.92,1305
"2.4.5",8.62,4
"2.4.5",18.62,27
"2.4.5",28.62,83
"2.4.5",38.62,181
"2.4.5",48.62,333
"2.4.5",58.62,494
"2.4.5",68.62,678
"2.4.5",78.62,852
"2.4.5",88.62,1009
"2.4.7",8.71,6
"2.4.7",18.71,45
"2.4.7",28.71,139
"2.4.7",38.71,266
"2.4.7",48.71,405
"2.4.7",58.71,573
"2.4.7",68.71,765
"2.4.7",78.71,970
"2.4.7",88.71,1186
"2.4.7",98.71,1414
"2.4.7",108.71,1659
"2.4.7",118.71,1950
"2.4.7",128.71,2270
"2.5.2",10,7
"2.5.2",20,44
"2.5.2",30,145
"2.5.2",40,250
"2.5.2",50,370
"2.5.2",60,500
"2.5.2",70,637
"2.5.3",1.32,0.5
"2.5.3",11.32,9
"2.5.3",21.32,54
"2.5.3",31.32,154
"2.5.3",41.32,259
"2.5.3",51.32,372
"2.5.3",61.32,512
"2.5.3",71.32,662
"2.5.6",10,7
"2.5.6",20,31
"2.5.6",30,77
"2.5.6",40,144
"2.5.6",50,218
"2.5.6",60,312
"2.5.6",70,420
"2.5.6",80,530
"2.5.7",8.75,6
"2.5.7",18.75,36
"2.5.7",28.75,92
"2.5.7",38.75,185
"2.5.7",48.75,280
"2.5.7",58.75,398
"2.5.7",68.75,506
"2.5.7",78.75,609
"2.5.8",9.51,20
"2.5.8",19.51,101
"2.5.8",29.51,250
"2.5.8",39.51,494
"2.5.8",49.51,677
"2.5.8",59.51,870
"2.5.8",69.51,1023
"2.5.8",79.51,1149
"2.5.9",9.26,4
"2.5.9",19.26,22
"2.5.9",29.26,68
"2.5.9",39.26,140
"2.5.9",49.26,236
"2.5.9",59.26,353
"2.5.9",69.26,478
"2.5.9",79.26,601
"2.5.10",0.59,0.5
"2.5.10",10.59,10
"2.5.10",20.59,43
"2.5.10",30.59,116
"2.5.10",40.59,206
"2.5.10",50.59,298
"2.5.10",60.59,397
"2.5.10",70.59,522
"2.5.10",80.59,630
"2.5.11",1.02,1.4
"2.5.11",11.02,17
"2.5.11",21.02,66
"2.5.11",31.022,144
"2.5.11",41.02,243
"2.5.11",51.02,370
"2.5.11",61.02,497
"2.5.11",71.02,612
"2.5.11",81.02,754
"2.5.12",0.74,1.1
"2.5.12",10.74,30
"2.5.12",20.74,103
"2.5.12",30.74,203
"2.5.12",40.74,304
"2.5.12",50.74,388
"2.5.12",60.74,476
"2.5.12",70.74,565
"2.5.12",80.74,643
"2.5.14",6.87,3
"2.5.14",16.87,29
"2.5.14",26.87,130
"2.5.14",36.88,303
"2.5.14",46.88,509
"2.5.14",56.88,723
"2.5.14",66.87,945
"2.5.14",76.87,1172
"2.5.14",86.87,1366
"2.5.14",96.87,1561
"2.5.15",9.74,9
"2.5.15",19.74,58
"2.5.15",29.74,182
"2.5.15",39.74,307
"2.5.15",49.74,429
"2.5.15",59.74,519
"2.5.15",69.74,622
"2.5.15",79.74,755
"2.5.15",89.74,881
"2.5.15",99.74,986
"2.5.17",1.89,0.2
"2.5.17",11.89,27
"2.5.17",21.89,78
"2.5.17",31.89,149
"2.5.17",41.89,203
"2.5.17",51.89,297
"2.5.17",61.89,397
"2.5.17",71.89,524
"2.5.17",81.89,645
"2.5.17",91.89,759
"2.5.17",101.89,868
"2.5.18",0.8,0.3
"2.5.18",10.8,9
"2.5.18",20.8,78
"2.5.18",30.8,189
"2.5.18",40.8,329
"2.5.18",50.8,499
"2.5.18",60.8,657
"2.5.18",70.8,791
"2.5.18",80.8,913
"2.5.18",90.8,1005
"2.5.19",1.3,1.5
"2.5.19",11.3,38
"2.5.19",21.3,126
"2.5.19",31.3,284
"2.5.19",41.3,453
"2.5.19",51.3,611
"2.5.19",61.3,748
"2.5.19",71.3,882
"2.5.19",81.3,1032
"2.5.19",91.3,1202
"2.5.19",101.3,1377
"2.5.21",9.38,6
"2.5.21",19.37,41
"2.5.21",29.37,127
"2.5.21",39.38,252
"2.5.21",49.38,415
"2.5.21",59.38,557
"2.5.21",69.37,710
"2.5.21",79.37,853
"2.5.21",89.37,1006
"2.5.21",99.37,1148
"2.5.21",109.37,1296
"2.5.21",119.37,1495
"2.5.22",9.17,6
"2.5.22",19.17,28
"2.5.22",29.17,101
"2.5.22",39.17,246
"2.5.22",49.17,465
"2.5.22",59.17,747
"2.5.22",69.17,1039
"2.5.22",79.17,1332
"2.5.22",89.17,1566
"2.5.22",99.17,1830
"2.5.22",109.17,2048
"2.5.22",119.17,2264
"2.5.23",10,13
"2.5.23",20,48
"2.5.23",30,111
"2.5.23",40,196
"2.5.23",50,287
"2.5.23",60,369
"2.5.23",70,454
"2.5.23",80,538
"2.5.23",90,606
"2.5.23",100,672
"2.5.23",110,728
"2.5.23",120,780
"2.5.23",130,847
"2.5.23",140,931
"2.5.24",10,11
"2.5.24",20,50
"2.5.24",30,149
"2.5.24",40,297
"2.5.24",50,472
"2.5.24",60,604
"2.5.24",70,782
"2.5.24",80,907
"2.5.24",90,1043
"2.5.24",100,1200
"2.5.24",110,1363
"2.5.24",120,1566
"2.5.24",130,1780
"2.5.24",140,1982
"2.5.26",1.75,0.2
"2.5.26",11.75,11
"2.5.26",21.75,52
"2.5.26",31.75,120
"2.5.26",41.75,238
"2.5.26",51.75,401
"2.5.26",61.75,564
"2.5.26",71.75,736
"2.5.26",81.75,894
"2.5.26",91.75,1064
"2.5.26",101.75,1184
"2.5.26",111.75,1306
"2.5.26",121.75,1417
"2.5.26",131.75,1540
"2.5.26",141.75,1681
"2.6.2",0.49,0.4
"2.6.2",10.49,11
"2.6.2",20.49,41
"2.6.2",30.49,109
"2.6.2",40.49,191
"2.6.2",50.49,293
"2.6.2",60.49,390
"2.6.2",70.49,485
"2.6.3",1.25,0.6
"2.6.3",11.25,13
"2.6.3",21.25,51
"2.6.3",31.25,125
"2.6.3",41.25,208
"2.6.3",51.25,320
"2.6.3",61.25,419
"2.6.3",71.25,512
"2.6.4",2.33,0.1
"2.6.4",12.33,19
"2.6.4",22.33,74
"2.6.4",32.33,173
"2.6.4",42.33,285
"2.6.4",52.33,448
"2.6.4",62.33,646
"2.6.4",72.33,834
"2.6.5",5.38,1
"2.6.5",15.38,11
"2.6.5",25.38,60
"2.6.5",35.38,186
"2.6.5",45.38,438
"2.6.5",55.38,756
"2.6.6",10,12
"2.6.6",20,68
"2.6.6",30,162
"2.6.6",40,286
"2.6.6",50,419
"2.6.6",60,546
"2.6.6",70,663
"2.6.7",1.3,0.5
"2.6.7",11.3,23
"2.6.7",21.3,118
"2.6.7",31.3,237
"2.6.7",41.3,350
"2.6.7",51.3,481
"2.6.7",61.3,612
"2.6.7",71.3,746
"2.6.7",81.3,884
"2.6.7",91.3,1005
"2.6.8",9.68,6
"2.6.8",19.68,45
"2.6.8",29.68,126
"2.6.8",39.68,244
"2.6.8",49.68,380
"2.6.8",59.68,500
"2.6.8",69.68,648
"2.6.8",79.68,811
"2.6.8",89.68,975
"2.7.6",5.71,1
"2.7.6",15.71,24
"2.7.6",25.71,111
"2.7.6",35.71,251
"2.7.6",45.71,414
"2.7.6",55.71,571
"2.7.6",65.71,721
"2.7.6",75.71,886
"2.7.6",85.71,1038
"2.7.6",95.71,1193
"2.7.6",105.71,1353
"2.7.6",115.71,1499
"2.7.6",125.71,1725
"2.7.6",135.71,2012
"3.1.12",8.33,2
"3.1.12",18.33,21
"3.1.12",28.33,81
"3.1.12",38.33,156
"3.1.12",48.33,251
"3.1.12",58.33,358
"3.1.12",68.33,495
"3.1.12",78.33,662
"3.1.12",88.33,808
"3.1.12",98.33,964
"3.1.12",108.33,1124
"3.1.12",118.33,1291
"3.1.12",128.33,1422
"3.1.12",138.33,1576
"3.1.13",10,6
"3.1.13",20,30
"3.1.13",30,89
"3.1.13",40,181
"3.1.13",50,309
"3.1.13",60,458
"3.1.13",70,630
"3.1.13",80,776
"3.1.13",90,931
"3.1.13",100,1073
"3.1.13",110,1226
"3.1.13",120,1381
"3.1.13",130,1547
"3.1.13",140,1736
"3.1.14",9.38,2
"3.1.14",19.37,11
"3.1.14",29.37,32
"3.1.14",39.38,64
"3.1.14",49.38,104
"3.1.14",59.38,155
"3.1.14",69.37,209
"3.1.14",79.37,257
"3.1.14",89.37,314
"3.1.14",99.37,351
"3.1.14",109.37,404
"3.1.14",119.37,446
"3.1.14",129.37,503
"3.1.14",139.37,555
"3.1.15",4.62,1
"3.1.15",14.62,9
"3.1.15",24.62,33
"3.1.15",34.62,74
"3.1.15",44.62,135
"3.1.15",54.62,209
"3.1.15",64.62,289
"3.1.15",74.62,371
"3.1.15",84.62,464
"3.1.15",94.62,556
"3.1.15",104.62,635
"3.1.15",114.62,727
"3.1.15",124.62,823
"3.1.15",134.62,921
"3.1.16",8.95,4
"3.1.16",18.95,18
"3.1.16",28.95,61
"3.1.16",38.95,119
"3.1.16",48.95,196
"3.1.16",58.95,297
"3.1.16",68.95,424
"3.1.16",78.95,541
"3.1.16",88.95,671
"3.1.16",98.95,808
"3.1.16",108.95,925
"3.1.16",118.95,1073
"3.1.16",128.95,1184
"3.1.16",138.95,1321
"3.3.13",9.6,6
"3.3.13",19.6,22
"3.3.13",29.6,59
"3.3.13",39.6,115
"3.3.13",49.6,204
"3.3.13",59.6,308
"3.3.13",69.6,410
"3.3.13",79.6,512
"3.3.13",89.6,613
"3.3.13",99.6,700
"3.3.13",109.6,788
"3.3.14",10,5
"3.3.14",20,21
"3.3.14",30,68
"3.3.14",40,139
"3.3.14",50,232
"3.3.14",60,326
"3.3.14",70,409
"3.3.14",80,505
"3.3.14",90,602
"3.3.14",100,694
"3.4.3",1.11,0.4
"3.4.3",11.11,7
"3.4.3",21.11,22
"3.4.3",31.11,57
"3.4.3",41.11,103
"3.4.3",51.11,160
"3.4.3",61.11,220
"3.4.3",71.11,289
"3.4.3",81.11,387
"3.4.3",91.11,465
"3.4.3",101.11,524
"3.4.4",7.37,2
"3.4.4",17.37,13
"3.4.4",27.37,46
"3.4.4",37.37,101
"3.4.4",47.37,166
"3.4.4",57.37,246
"3.4.4",67.37,315
"3.4.4",77.37,462
"3.4.4",87.37,635
"3.4.4",97.37,791
"3.4.4",107.37,951
"3.5.1",8.8,3
"3.5.1",18.8,14
"3.5.1",28.8,63
"3.5.1",38.8,118
"3.5.1",48.8,181
"3.5.1",58.8,255
"3.5.1",68.8,324
"3.5.1",78.8,390
"3.5.20",5,1
"3.5.20",15,9
"3.5.20",25,32
"3.5.20",35,72
"3.5.20",45,115
"3.5.20",55,172
"3.5.20",65,247
"3.5.20",75,320
"3.5.20",85,392
"3.5.20",95,493
"3.5.27",5,1
"3.5.27",15,5
"3.5.27",25,18
"3.5.27",35,43
"3.5.27",45,97
"3.5.27",55,182
"3.5.27",65,299
"3.5.27",75,446
"3.5.27",85,583
"3.5.27",95,717
"3.5.27",105,870
"3.5.27",115,1028
"3.5.27",125,1223
"3.5.28",9.41,2
"3.5.28",19.41,11
"3.5.28",29.41,30
"3.5.28",39.41,84
"3.5.28",49.41,189
"3.5.28",59.41,325
"3.5.28",69.41,476
"3.5.28",79.41,636
"3.5.28",89.41,790
"3.5.28",99.41,906
"3.5.28",109.41,1026
"3.5.28",119.41,1119
"3.5.28",129.41,1235
"3.5.29",4.17,1
"3.5.29",14.17,3
"3.5.29",24.17,13
"3.5.29",34.17,35
"3.5.29",44.17,70
"3.5.29",54.17,122
"3.5.29",64.17,179
"3.5.29",74.17,251
"3.5.29",84.17,321
"3.5.29",94.17,422
"3.5.29",104.17,504
"3.5.29",114.17,615
"3.5.29",124.17,724
"3.5.29",134.17,838
"3.5.30",5.45,1
"3.5.30",15.45,3
"3.5.30",25.45,19
"3.5.30",35.45,60
"3.5.30",45.45,134
"3.5.30",55.45,206
"3.5.30",65.45,278
"3.5.30",75.45,352
"3.5.30",85.45,415
"3.5.30",95.45,505
"3.5.30",105.45,589
"3.5.30",115.45,677
"3.5.30",125.45,795
"3.5.30",135.45,896
"3.5.31",2.5,0.6
"3.5.31",12.5,11
"3.5.31",22.5,53
"3.5.31",32.5,130
"3.5.31",42.5,210
"3.5.31",52.5,325
"3.5.31",62.5,459
"3.5.31",72.5,610
"3.5.31",82.5,760
"3.5.31",92.5,907
"3.5.31",102.5,1051
"3.5.31",112.5,1211
"3.5.31",122.5,1381
"3.5.31",132.5,1570
"3.6.9",9.2,4
"3.6.9",19.2,16
"3.6.9",29.2,55
"3.6.9",39.2,110
"3.6.9",49.2,174
"3.6.9",59.2,252
"3.6.9",69.2,344
"3.6.9",79.203,441
"3.6.10",9.17,5
"3.6.10",19.17,15
"3.6.10",29.17,44
"3.6.10",39.17,84
"3.6.10",49.17,142
"3.6.10",59.17,208
"3.6.10",69.17,277
"3.6.10",79.17,363
"3.6.10",89.17,463
"3.6.10",99.17,582
"3.7.1",9.2,5
"3.7.1",19.2,24
"3.7.1",29.2,49
"3.7.1",39.2,79
"3.7.1",49.2,120
"3.7.1",59.2,170
"3.7.1",69.2,217
"3.7.1",79.2,272
"3.7.1",89.2,350
"3.7.1",99.2,448
"3.7.1",109.2,555
"3.7.10",8.85,5
"3.7.10",18.85,24
"3.7.10",28.85,61
"3.7.10",38.85,115
"3.7.10",48.85,190
"3.7.10",58.85,257
"3.7.10",68.85,327
"3.7.10",78.85,417
"3.7.10",88.85,536
"3.7.10",98.85,667
"3.7.10",108.85,781
"3.7.10",118.85,912
"3.7.10",128.85,1033
"3.7.10",138.85,1148
"4.5.34",10,3
"4.5.34",20,13
"4.5.34",30,39
"4.5.34",40,77
"4.5.34",50,110
"4.5.34",60,140
"4.5.34",70,173
"4.5.34",80,222
"4.5.34",90,285
"4.5.34",100,340
"4.5.35",3.57,0.8
"4.5.35",13.57,9
"4.5.35",23.57,26
"4.5.35",33.57,70
"4.5.35",43.57,139
"4.5.35",53.57,214
"4.5.35",63.57,286
"4.5.35",73.57,372
"4.5.35",83.57,474
"4.5.35",93.57,569
"4.5.36",9.52,2.8
"4.5.36",19.52,11
"4.5.36",29.52,24
"4.5.36",39.52,37
"4.5.36",49.52,53
"4.5.36",59.52,74
"4.5.36",69.52,93
"4.5.36",79.52,123
"4.5.36",89.52,152
"4.5.36",99.52,180
"4.5.37",8.33,1.8
"4.5.37",18.33,9
"4.5.37",28.33,26
"4.5.37",38.33,59
"4.5.37",48.33,99
"4.5.37",58.33,142
"4.5.37",68.33,199
"4.5.37",78.33,250
"4.5.37",88.33,313
"4.5.37",98.33,373
"4.5.37",108.33,436
"4.5.37",118.33,495
"4.5.38",7.22,2.1
"4.5.38",17.22,9
"4.5.38",27.22,25
"4.5.38",37.22,57
"4.5.38",47.22,97
"4.5.38",57.22,138
"4.5.38",67.22,181
"4.5.38",77.22,232
"4.5.38",87.22,293
"4.5.38",97.22,345
"4.5.38",107.22,423
"4.5.39",9.33,6.9
"4.5.39",19.33,32
"4.5.39",29.33,71
"4.5.39",39.33,133
"4.5.39",49.33,205
"4.5.39",59.33,302
"4.5.39",69.33,391
"4.5.39",79.33,486
"4.5.39",89.33,604
"4.5.39",99.33,732
"4.5.39",109.33,870
"4.5.40",5.33,1.4
"4.5.40",15.33,8
"4.5.40",25.33,26
"4.5.40",35.33,60
"4.5.40",45.33,93
"4.5.40",55.33,127
"4.5.40",65.33,146
"4.5.40",75.33,170
"4.5.40",85.33,192
"4.5.40",95.33,220
"4.5.40",105.33,242
"4.5.40",115.33,268
"4.5.40",125.33,287
"4.5.40",135.33,301
"4.5.41",5,0.7
"4.5.41",15,4
"4.5.41",25,11
"4.5.41",35,25
"4.5.41",45,46
"4.5.41",55,77
"4.5.41",65,116
"4.5.41",75,160
"4.5.41",85,212
"4.5.41",95,266
"4.5.41",105,333
"4.5.41",115,409
"4.5.41",125,487
"4.5.41",135,565
"4.5.42",6.87,1.6
"4.5.42",16.87,7
"4.5.42",26.87,16
"4.5.42",36.88,40
"4.5.42",46.88,86
"4.5.42",56.88,137
"4.5.42",66.87,184
"4.5.42",76.87,241
"4.5.42",86.87,305
"4.5.42",96.87,372
"4.5.42",106.87,433
"4.5.42",116.87,503
"4.5.42",126.87,568
"4.5.42",136.87,630
"4.5.43",10,5
"4.5.43",20,15
"4.5.43",30,36
"4.5.43",40,79
"4.5.43",50,124
"4.5.43",60,181
"4.5.43",70,244
"4.5.43",80,319
"4.5.43",90,399
"4.5.43",100,508
"4.5.43",110,598
"4.5.43",120,708
"4.5.43",130,859
"4.5.44",8.95,1.6
"4.5.44",18.95,6
"4.5.44",28.95,14
"4.5.44",38.95,33
"4.5.44",48.95,60
"4.5.44",58.95,88
"4.5.44",68.95,119
"4.5.44",78.95,161
"4.5.44",88.95,199
"4.5.44",98.95,237
"4.5.44",108.95,265
"4.5.44",118.95,302
"4.5.44",128.95,335
"4.5.44",138.95,377
"4.5.45",8.33,2.4
"4.5.45",18.33,9
"4.5.45",28.33,23
"4.5.45",38.33,45
"4.5.45",48.33,80
"4.5.45",58.33,134
"4.5.45",68.33,183
"4.5.45",78.33,236
"4.5.45",88.33,286
"4.5.45",98.33,351
"4.5.45",108.33,403
"4.5.45",118.33,472
"4.5.45",128.33,593
"4.5.45",138.33,703
"4.5.46",7.06,2
"4.5.46",17.06,12
"4.5.46",27.06,31
"4.5.46",37.06,61
"4.5.46",47.06,99
"4.5.46",57.06,142
"4.5.46",67.06,182
"4.5.46",77.06,241
"4.5.46",87.06,307
"4.5.46",97.06,377
"4.5.46",107.06,436
"4.5.46",117.06,501
"4.5.46",127.06,587
"4.5.46",137.06,698
"4.5.47",9.62,7.4
"4.5.47",19.62,27
"4.5.47",29.62,56
"4.5.47",39.62,90
"4.5.47",49.62,151
"4.5.47",59.62,236
"4.5.47",69.62,331
"4.5.47",79.62,458
"4.5.47",89.62,563
"4.5.47",99.62,693
"4.5.47",109.62,823
"4.5.47",119.62,974
"4.5.47",129.62,1156
"4.5.47",139.62,1361
"4.5.48",6.15,2.2
"4.5.48",16.15,17
"4.5.48",26.15,46
"4.5.48",36.15,84
"4.5.48",46.15,132
"4.5.48",56.15,188
"4.5.48",66.15,256
"4.5.48",76.15,321
"4.5.48",86.15,392
"4.5.48",96.15,461
"4.5.48",106.15,508
"4.5.48",116.15,568
"4.5.48",126.15,610
"4.5.48",136.15,668
"4.6.11",7.27,0.9
"4.6.11",17.27,5
"4.6.11",27.27,16
"4.6.11",37.27,46
"4.6.11",47.27,91
"4.6.11",57.27,147
"4.6.11",67.27,225
"4.6.11",77.27,307
"4.6.11",87.27,378
"4.6.11",97.27,447
"4.6.11",107.27,506
"4.6.11",117.27,550
"4.6.11",127.27,595
"4.6.11",137.27,643
"4.6.12",7.06,1.3
"4.6.12",17.06,26
"4.6.12",27.06,30
"4.6.12",37.06,56
"4.6.12",47.06,96
"4.6.12",57.06,151
"4.6.12",67.06,220
"4.6.12",77.06,295
"4.6.12",87.06,372
"4.6.12",97.06,476
"4.6.12",107.06,583
"4.6.12",117.06,672
"4.6.12",127.06,781
"4.6.12",137.06,925
"4.7.11",8.42,1.8
"4.7.11",18.42,12
"4.7.11",28.42,35
"4.7.11",38.42,68
"4.7.11",48.42,111
"4.7.11",58.42,163
"4.7.11",68.42,225
"4.7.13",8.13,2.5
"4.7.13",18.12,14
"4.7.13",28.12,33
"4.7.13",38.13,61
"4.7.13",48.13,98
"4.7.13",58.13,135
"4.7.13",68.12,177
"4.7.13",78.12,206
"4.7.13",88.12,232
"4.7.13",98.12,271
"4.7.13",108.12,330
