plot,tree,species,dbh.cm,height.m
108,3,PP,20.2,10
109,1,PP,22.4,8.5
109,2,PP,22.1,10.5
109,3,PP,25.2,9.7
110,1,GF,10.3,7.1
110,2,GF,10.7,7.9
110,3,GF,10.3,7.5
111,1,GF,14.4,7.4
111,2,GF,11.9,5.4
111,3,GF,11.2,7.4
112,1,PP,8.3,6.7
112,2,PP,20.2,9
112,3,PP,15.4,7.9
113,1,PP,16.9,7.3
113,2,PP,13.6,7.9
113,3,PP,15,7.6
